127.0.0.1 - - [25/Dec/2019:19:31:23 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:31:28 +0530] "GET /MVCProj13-SFC-MiniProject/ HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:31:29 +0530] "GET /MVCProj13-SFC-MiniProject/images/report.png HTTP/1.1" 200 10857
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:31:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:31:38 +0530] "GET /MVCProj13-SFC-MiniProject/list_patients.htm HTTP/1.1" 500 6173
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:33:09 +0530] "GET /MVCProj13-SFC-MiniProject/list_patients.htm HTTP/1.1" 200 4030
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:33:09 +0530] "GET /MVCProj13-SFC-MiniProject/images/edit.jpg HTTP/1.1" 200 6910
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:33:09 +0530] "GET /MVCProj13-SFC-MiniProject/images/delete.jpg HTTP/1.1" 200 7799
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:33:09 +0530] "GET /MVCProj13-SFC-MiniProject/images/home.png HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:34:37 +0530] "GET /MVCProj13-SFC-MiniProject/list_patients.htm HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:34:37 +0530] "GET /MVCProj13-SFC-MiniProject/images/edit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:34:37 +0530] "GET /MVCProj13-SFC-MiniProject/images/delete.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:34:37 +0530] "GET /MVCProj13-SFC-MiniProject/images/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:35:10 +0530] "GET /MVCProj13-SFC-MiniProject/list_patients.htm HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:35:10 +0530] "GET /MVCProj13-SFC-MiniProject/images/delete.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:35:10 +0530] "GET /MVCProj13-SFC-MiniProject/images/edit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:35:10 +0530] "GET /MVCProj13-SFC-MiniProject/images/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:36:45 +0530] "GET /MVCProj13-SFC-MiniProject/list_patients.htm HTTP/1.1" 200 4605
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:36:45 +0530] "GET /MVCProj13-SFC-MiniProject/images/delete.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:36:45 +0530] "GET /MVCProj13-SFC-MiniProject/images/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:36:45 +0530] "GET /MVCProj13-SFC-MiniProject/images/edit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:39:55 +0530] "GET /MVCProj13-SFC-MiniProject/list_patients.htm HTTP/1.1" 200 4912
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:39:56 +0530] "GET /MVCProj13-SFC-MiniProject/images/edit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:39:56 +0530] "GET /MVCProj13-SFC-MiniProject/images/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:19:39:56 +0530] "GET /MVCProj13-SFC-MiniProject/images/delete.jpg HTTP/1.1" 304 -
